Date,T (tenths of C),Day,T (deg C)
20190101,-196,1,-19.6
20190102,-52,2,-5.2
20190103,-1,3,-0.1
20190104,-42,4,-4.2
20190105,-103,5,-10.3
20190106,-103,6,-10.3
20190107,-78,7,-7.8
20190108,-167,8,-16.7
20190109,-209,9,-20.9
20190110,-148,10,-14.8
20190111,-159,11,-15.9
20190112,-144,12,-14.4
20190113,-98,13,-9.8
20190114,-59,14,-5.9
20190115,-149,15,-14.9
20190116,-246,16,-24.6
20190117,-243,17,-24.3
20190118,-304,18,-30.4
20190119,-314,19,-31.4
20190120,-275,20,-27.5
20190121,-136,21,-13.6
20190122,-133,22,-13.3
20190123,-171,23,-17.1
20190124,-257,24,-25.7
20190125,-297,25,-29.7
20190126,-268,26,-26.8
20190127,-214,27,-21.4
20190128,-205,28,-20.5
20190129,-322,29,-32.2
20190130,-331,30,-33.1
20190131,-253,31,-25.3
20190201,-175,32,-17.5
20190202,-228,33,-22.8
20190203,-280,34,-28
20190204,-254,35,-25.4
20190205,-229,36,-22.9
20190206,-300,37,-30
20190207,-295,38,-29.5
20190208,-305,39,-30.5
20190209,-282,40,-28.2
20190210,-271,41,-27.1
20190211,-238,42,-23.8
20190212,-184,43,-18.4
20190213,-237,44,-23.7
20190214,-215,45,-21.5
20190215,-225,46,-22.5
20190216,-192,47,-19.2
20190217,-218,48,-21.8
20190218,-233,49,-23.3
20190219,-176,50,-17.6
20190220,-177,51,-17.7
20190221,-186,52,-18.6
20190222,-167,53,-16.7
20190223,-182,54,-18.2
20190224,-225,55,-22.5
20190225,-236,56,-23.6
20190226,-216,57,-21.6
20190227,-137,58,-13.7
20190228,-154,59,-15.4
20190301,-224,60,-22.4
20190302,-241,61,-24.1
20190303,-197,62,-19.7
20190304,-142,63,-14.2
20190305,-131,64,-13.1
20190306,-137,65,-13.7
20190307,-168,66,-16.8
20190308,-116,67,-11.6
20190309,-83,68,-8.3
20190310,-122,69,-12.2
20190311,-101,70,-10.1
20190312,-45,71,-4.5
20190313,-9,72,-0.9
20190314,-45,73,-4.5
20190315,-99,74,-9.9
20190316,-43,75,-4.3
20190317,-13,76,-1.3
20190318,14,77,1.4
20190319,19,78,1.9
20190320,-3,79,-0.3
20190321,33,80,3.3
20190322,14,81,1.4
20190323,2,82,0.2
20190324,-73,83,-7.3
20190325,-44,84,-4.4
20190326,20,85,2
20190327,35,86,3.5
20190328,-10,87,-1
20190329,-14,88,-1.4
20190330,-20,89,-2
20190331,-3,90,-0.3
20190401,18,91,1.8
20190402,-37,92,-3.7
20190403,-38,93,-3.8
20190404,6,94,0.6
20190405,-11,95,-1.1
20190406,-15,96,-1.5
20190407,3,97,0.3
20190408,-25,98,-2.5
20190409,-41,99,-4.1
20190410,-34,100,-3.4
20190411,-2,101,-0.2
20190412,3,102,0.3
20190413,43,103,4.3
20190414,61,104,6.1
20190415,68,105,6.8
20190416,57,106,5.7
20190417,60,107,6
20190418,83,108,8.3
20190419,142,109,14.2
20190420,115,110,11.5
20190421,76,111,7.6
20190422,80,112,8
20190423,149,113,14.9
20190424,96,114,9.6
20190425,60,115,6
20190426,37,116,3.7
20190427,35,117,3.5
20190428,-4,118,-0.4
20190429,9,119,0.9
20190430,33,120,3.3
20190501,42,121,4.2
20190502,53,122,5.3
20190503,50,123,5
20190504,28,124,2.8
20190505,-6,125,-0.6
20190506,13,126,1.3
20190507,30,127,3
20190508,37,128,3.7
20190509,42,129,4.2
20190510,74,130,7.4
20190511,95,131,9.5
20190512,105,132,10.5
20190513,145,133,14.5
20190514,107,134,10.7
20190515,77,135,7.7
20190516,63,136,6.3
20190517,59,137,5.9
20190518,57,138,5.7
20190519,66,139,6.6
20190520,99,140,9.9
20190521,118,141,11.8
20190522,123,142,12.3
20190523,122,143,12.2
20190524,142,144,14.2
20190525,49,145,4.9
20190526,65,146,6.5
20190527,116,147,11.6
20190528,176,148,17.6
20190529,188,149,18.8
20190530,146,150,14.6
20190531,114,151,11.4
20190601,99,152,9.9
20190602,101,153,10.1
20190603,150,154,15
20190604,174,155,17.4
20190605,160,156,16
20190606,152,157,15.2
20190607,208,158,20.8
20190608,135,159,13.5
20190609,107,160,10.7
20190610,127,161,12.7
20190611,121,162,12.1
20190612,131,163,13.1
20190613,176,164,17.6
20190614,189,165,18.9
20190615,148,166,14.8
20190616,159,167,15.9
20190617,144,168,14.4
20190618,147,169,14.7
20190619,161,170,16.1
20190620,177,171,17.7
20190621,183,172,18.3
20190622,160,173,16
20190623,164,174,16.4
20190624,177,175,17.7
20190625,169,176,16.9
20190626,171,177,17.1
20190627,188,178,18.8
20190628,203,179,20.3
20190629,227,180,22.7
20190630,190,181,19
20190701,201,182,20.1
20190702,155,183,15.5
20190703,168,184,16.8
20190704,168,185,16.8
20190705,142,186,14.2
20190706,157,187,15.7
20190707,208,188,20.8
20190708,210,189,21
20190709,187,190,18.7
20190710,174,191,17.4
20190711,207,192,20.7
20190712,189,193,18.9
20190713,208,194,20.8
20190714,221,195,22.1
20190715,208,196,20.8
20190716,182,197,18.2
20190717,181,198,18.1
20190718,183,199,18.3
20190719,158,200,15.8
20190720,152,201,15.2
20190721,155,202,15.5
20190722,199,203,19.9
20190723,202,204,20.2
20190724,218,205,21.8
20190725,201,206,20.1
20190726,187,207,18.7
20190727,213,208,21.3
20190728,189,209,18.9
20190729,138,210,13.8
20190731,204,212,20.4
20190801,197,213,19.7
20190802,234,214,23.4
20190803,237,215,23.7
20190804,197,216,19.7
20190805,188,217,18.8
20190806,172,218,17.2
20190807,144,219,14.4
20190808,152,220,15.2
20190809,173,221,17.3
20190810,155,222,15.5
20190811,129,223,12.9
20190812,121,224,12.1
20190813,143,225,14.3
20190814,182,226,18.2
20190815,175,227,17.5
20190816,192,228,19.2
20190817,122,229,12.2
20190818,139,230,13.9
20190819,125,231,12.5
20190820,140,232,14
20190821,107,233,10.7
20190822,127,234,12.7
20190823,185,235,18.5
20190824,208,236,20.8
20190825,185,237,18.5
20190826,175,238,17.5
20190827,123,239,12.3
20190828,141,240,14.1
20190829,134,241,13.4
20190830,136,242,13.6
20190831,146,243,14.6
20190901,102,244,10.2
20190902,67,245,6.7
20190903,135,246,13.5
20190904,160,247,16
20190905,162,248,16.2
20190906,141,249,14.1
20190907,108,250,10.8
20190908,129,251,12.9
20190909,139,252,13.9
20190910,112,253,11.2
20190911,123,254,12.3
20190912,103,255,10.3
20190913,121,256,12.1
20190914,144,257,14.4
20190915,175,258,17.5
20190916,201,259,20.1
20190917,212,260,21.2
20190918,145,261,14.5
20190919,132,262,13.2
20190920,164,263,16.4
20190921,127,264,12.7
20190922,146,265,14.6
20190923,165,266,16.5
20190924,123,267,12.3
20190925,106,268,10.6
20190926,47,269,4.7
20190927,29,270,2.9
20190928,50,271,5
20190929,31,272,3.1
20190930,23,273,2.3
20191001,24,274,2.4
20191002,20,275,2
20191003,43,276,4.3
20191004,61,277,6.1
20191005,103,278,10.3
20191006,76,279,7.6
20191007,104,280,10.4
20191008,78,281,7.8
20191009,-7,282,-0.7
20191010,2,283,0.2
20191011,6,284,0.6
20191012,3,285,0.3
20191013,22,286,2.2
20191014,38,287,3.8
20191015,16,288,1.6
20191016,17,289,1.7
20191017,18,290,1.8
20191018,54,291,5.4
20191019,70,292,7
20191020,50,293,5
20191021,16,294,1.6
20191022,17,295,1.7
20191023,-5,296,-0.5
20191024,-3,297,-0.3
20191025,52,298,5.2
20191026,11,299,1.1
20191027,-42,300,-4.2
20191028,-58,301,-5.8
20191029,-64,302,-6.4
20191030,-56,303,-5.6
20191031,-28,304,-2.8
20191101,-6,305,-0.6
20191102,11,306,1.1
20191103,-7,307,-0.7
20191104,-98,308,-9.8
20191105,-113,309,-11.3
20191106,-110,310,-11
20191107,-107,311,-10.7
20191108,-82,312,-8.2
20191109,-87,313,-8.7
20191110,-145,314,-14.5
20191111,-173,315,-17.3
20191112,-115,316,-11.5
20191113,-100,317,-10
20191114,-72,318,-7.2
20191115,-66,319,-6.6
20191116,-34,320,-3.4
20191117,-32,321,-3.2
20191118,7,322,0.7
20191119,-16,323,-1.6
20191120,-110,324,-11
20191121,-99,325,-9.9
20191122,-4,326,-0.4
20191123,14,327,1.4
20191124,4,328,0.4
20191125,-25,329,-2.5
20191126,-41,330,-4.1
20191127,-56,331,-5.6
20191128,-66,332,-6.6
20191129,-83,333,-8.3
20191130,-83,334,-8.3
20191201,-94,335,-9.4
20191202,-59,336,-5.9
20191203,-33,337,-3.3
20191204,-46,338,-4.6
20191205,-105,339,-10.5
20191206,-94,340,-9.4
20191207,-115,341,-11.5
20191208,-215,342,-21.5
20191209,-225,343,-22.5
20191210,-234,344,-23.4
20191211,-247,345,-24.7
20191212,-221,346,-22.1
20191213,-238,347,-23.8
20191214,-271,348,-27.1
20191215,-206,349,-20.6
20191216,-167,350,-16.7
20191217,-267,351,-26.7
20191218,-109,352,-10.9
20191219,-173,353,-17.3
20191220,-154,354,-15.4
20191221,-117,355,-11.7
20191222,-93,356,-9.3
20191223,-119,357,-11.9
20191224,-66,358,-6.6
20191225,-93,359,-9.3
20191226,-67,360,-6.7
20191227,-76,361,-7.6
20191228,-141,362,-14.1
20191229,-169,363,-16.9
20191230,-129,364,-12.9
20191231,-62,365,-6.2
